Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
0,0,0,0,94,0,89,141
0,0,0,0,0,0,89,142
0,0,0,0,0,0,91,145
0,0,0,0,0,0,89,144
0,0,0,0,0,0,91,144
0,0,0,0,0,0,88,145
0,0,0,0,0,0,86,144
0,0,0,0,0,0,87,144
0,157,141,0,0,0,10,144
67,0,0,0,0,68,19,144
114,0,0,0,0,64,88,141
95,0,0,0,0,61,88,141
88,0,0,0,0,68,89,142
102,0,0,0,0,62,88,141
117,173,171,0,0,68,89,138
109,118,140,0,128,84,21,142
0,0,0,0,220,87,73,142
0,0,0,0,0,85,150,141
0,0,0,0,0,100,150,142
0,0,0,0,0,107,151,140
0,0,0,0,0,108,140,141
0,0,0,0,0,109,88,139
123,0,0,0,94,111,63,140
0,0,0,0,0,134,30,140
0,0,0,0,0,0,6,141
0,0,0,0,197,0,5,140
0,0,0,0,0,0,93,140
0,0,0,0,0,0,96,140
106,0,0,0,0,0,101,141
0,0,0,0,0,0,102,139
0,0,0,0,0,0,91,140
0,0,0,0,0,0,91,140
0,0,0,0,0,0,90,141
0,0,0,0,0,0,90,140
0,0,0,0,0,0,90,140
104,0,0,0,0,0,89,140
109,112,128,0,0,0,89,139
55,40,0,0,92,52,82,140
52,0,0,0,0,45,90,140
71,0,0,0,0,38,88,140
140,0,0,0,0,46,89,138
0,0,0,0,0,47,90,140
100,122,0,0,0,54,88,140
86,169,0,0,0,59,90,140
100,108,0,0,87,63,89,140
75,105,0,0,0,40,88,137
69,108,0,0,0,32,88,140
53,100,0,0,87,39,88,140
97,126,252,0,97,57,87,140
80,200,195,0,93,56,86,138
103,150,176,0,87,46,15,139
127,132,0,0,103,104,5,140
95,173,0,0,99,88,5,139
135,0,0,0,0,89,72,138
101,0,0,0,0,87,87,140
126,0,0,0,0,78,93,138
0,0,0,0,0,117,91,138
0,0,0,0,0,0,89,140
0,0,0,0,0,0,91,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,91,142
0,0,0,0,0,0,91,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,86,141
0,0,0,0,0,0,85,142
0,0,0,0,0,0,74,142
0,195,0,0,0,0,53,141
96,99,112,0,0,141,20,141
59,70,0,0,0,59,30,142
58,89,0,0,0,37,89,140
94,248,241,0,97,32,88,142
52,109,177,0,88,26,87,139
0,0,0,0,205,59,87,142
0,0,0,0,103,71,175,141
0,0,0,0,0,77,177,139
0,0,0,0,92,77,161,141
0,0,0,0,107,84,89,139
110,0,0,0,86,90,19,141
0,0,0,0,219,0,69,138
170,0,0,0,211,0,89,141
115,0,0,0,0,0,63,140
0,0,0,0,0,0,73,141
0,0,0,0,0,0,88,140
0,0,0,0,92,0,88,140
0,0,0,0,0,0,89,140
0,0,0,0,0,0,89,141
110,0,0,0,0,0,87,141
0,0,0,0,0,0,87,139
0,0,0,0,0,0,88,142
0,0,0,0,0,0,88,141
184,196,0,0,0,0,87,141
101,119,117,0,0,0,89,140
52,101,0,0,88,48,41,139
0,0,0,0,0,57,86,139
109,0,0,0,0,59,87,139
103,0,0,0,89,147,86,136
99,0,0,0,0,69,87,139
100,0,0,0,0,45,87,136
